GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage.example,coverage.example.model,Planet,22,0,0,0,5,0,4,0,4,0
coverage.example,coverage.example.model,Star,37,0,0,0,9,0,7,0,7,0
coverage.example,coverage.example.model,Galaxy,0,11,0,0,0,4,0,1,0,1
coverage.example,coverage.example,Application,3,18,0,0,1,3,1,1,1,1
